Estado,Región,Población(1.000hab.),Superficie(km2),PIB_per_capita(dólares),Periódicos,Televisiones,%PIB_educacion
Albania,EE,3389,28748,360,49,89,NA
Alemania,UE,80857,356755,25580,323,559,NA
Andorra,OT,61,453,15000,67,367,NA
Austria,UE,7863,83849,24950,398,479,5.80
Bélgica,UE,10046,30513,22920,310,453,5.10
Bielorrusia,EE,10188,207595,2160,186,272,5.30
Bosnia-Herzegovina,EE,3707,51129,700,131,NA,NA
Bulgaria,EE,8870,110912,1160,164,260,5.80
Croacia,EE,4511,56538,2530,532,338,NA
Dinamarca,UE,5165,43069,28110,332,538,7.40
Eslovaquia,EE,5314,49035,2230,317,474,5.70
Eslovenia,EE,1937,20521,7140,160,297,6.20
España,UE,39514,504782,13280,104,400,4.60
Estonia,EE,1553,45100,2820,NA,361,5.90
Finlandia,UE,5058,337009,18850,512,504,7.20
Francia,UE,57508,547026,23470,205,412,5.80
Grecia,UE,10377,131994,7480,135,202,3.10
Holanda,UE,15285,40844,21970,383,491,5.90
Hungría,EE,10210,93030,3840,282,427,6.70
Irlanda,UE,3524,70283,13630,186,301,6.20
Islandia,OT,263,103000,24590,519,335,5.60
Italia,UE,57127,301225,19270,106,429,5.40
Letonia,EE,2611,64500,2290,98,460,6.70
Liechtenstein,OT,30,157,35000,653,337,NA
Lituania,EE,3712,65200,1350,225,383,4.40
Luxemburgo,UE,395,2586,39850,372,261,NA
Macedonia,EE,2119,25713,790,27,165,5.00
Malta,OT,361,316,8000,150,745,4.60
Moldavia,EE,4408,33700,870,47,NA,6.50
Mónaco,OT,31,2,25000,258,739,NA
Noruega,UE,4299,324219,26480,607,427,8.40
Polonia,EE,38303,312677,2470,159,298,5.50
Portugal,UE,9838,92082,9370,47,190,5.00
ReinoUnido,UE,57924,244046,18410,383,435,5.20
RepúblicaCheca,EE,10296,78864,3210,583,476,5.80
Rumania,EE,23023,237500,1230,324,200,3.60
Rusia,EE,147760,17075400,2650,387,372,4.40
SanMarino,OT,24,61,20000,NA,352,NA
Suecia,UE,8694,449964,23630,511,470,8.30
Suiza,OT,7056,41288,23630,377,400,5.20
Ucrania,EE,51551,603700,1570,118,339,6.10
Yugoslavia,EE,10623,87968,1000,52,179,NA