Especie,Numero_semillas,Peso_semillas_mg
Abedul para papel,27239,0.6
Abedul amarillo,12158,1.6
Picea del Canadá,7202,2.0
Picea de Engelman,3671,3.3
Picea roja del Canadá,5051,3.4
Tulipanero,13509,9.1
Pino ponderosa,2667,37.7
Abeto,5196,40.0
Arce del azúcar,1751,48.0
Pino,1159,216.0
Haya americana,463,247
Haya americana,1892,247
Encina,93,1851
Encina escarlata,525,1930
Roble rojo americano,411,2475
Roble rojo americano,253,2475
Avellano de América,40,3423
Roble blanco del Canadá,184,3669
Roble blanco americano,107,4535